year_month,mean_temp,median_temp,var_temp,min_temp,max_temp,mean_prcp,median_prcp,var_prcp,min_prcp,max_prcp
1975-05,67.52682926829269,65.05,151.8268620869697,36.7,88.9,0.014839857651245552,0.0,0.004093634977122527,0.0,0.59
1975-06,71.40892307692309,73.3,125.41859297246,43.3,93.4,0.03530035335689046,0.0,0.029514359822569742,0.0,1.65
1975-07,73.61035714285715,75.0,86.20645148489476,47.1,96.2,0.014739130434782609,0.0,0.007346438200113915,0.0,1.06
1975-08,71.70338164251208,73.4,116.81702734393345,46.4,89.1,0.01005952380952381,0.0,0.0019993976333048174,0.0,0.39
1975-09,69.14308510638298,69.44999999999999,115.72449738309254,43.9,86.4,0.006736111111111112,0.0,0.0017144473581973587,0.0,0.39
1975-10,69.25286624203822,71.5,78.84789237301945,43.2,82.8,0.0,0.0,0.0,0.0,0.0
1975-11,67.47867647058824,69.5,100.02717156862747,45.8,89.8,0.0,0.0,0.0,0.0,0.0
1975-12,63.71764705882353,65.1,127.11553812636156,33.2,92.8,0.0,0.0,0.0,0.0,0.0
1976-01,34.08583333333333,32.8,267.4312531783871,-19.5,73.9,0.04703753351206435,0.0,0.050214970401425,0.0,2.83
1976-02,39.12228047182175,37.5,172.26257379524844,-7.6,75.7,0.059015624999999995,0.0,0.07414879474765255,0.0,4.02
1976-03,41.875901328273244,40.3,258.84114818796354,-10.9,77.0,0.0302803738317757,0.0,0.022851911838735802,0.0,1.57
1976-04,49.71203501094092,48.1,130.14071010403492,24.0,77.4,0.013756613756613757,0.0,0.00537258782086368,0.0,0.67
1976-05,59.50305882352941,57.6,89.3194009988901,34.9,80.3,0.054146341463414634,0.0,0.10372216330858959,0.0,5.0
1976-06,64.1086387434555,63.25,81.85317976941357,44.3,89.3,0.04836676217765043,0.0,0.05412807199552084,0.0,2.8
1976-07,69.61752021563342,69.4,70.40625977999555,51.0,84.3,0.026006493506493505,0.0,0.027540026016328958,0.0,2.24
1976-08,65.72857142857143,63.3,62.87063890882995,49.0,83.6,0.04498507462686567,0.0,0.06753944588435075,0.0,2.76
1976-09,63.62486486486487,61.3,68.18929876217685,48.4,82.9,0.041746031746031746,0.0,0.04523356586796078,0.0,2.64
1976-10,55.25794117647059,52.75,124.2689338018393,33.1,82.3,0.022607260726072605,0.0,0.030307418092802657,0.0,2.09
1976-11,46.243853820598005,44.5,148.33807043189373,9.5,78.7,0.019999999999999997,0.0,0.03278534798534799,0.0,2.28
1976-12,31.956170212765958,31.0,75.67178868885254,15.0,52.3,0.0,0.0,0.0,0.0,0.0
